,primary_rx_time,176_177_tdoa,176_177_fdoa,175_177_tdoa,175_177_fdoa,175_176_tdoa,175_176_fdoa,maneuver,175_177_tdoa_scaled,175_177_fdoa_scaled,175_176_tdoa_scaled,175_176_fdoa_scaled,176_177_tdoa_scaled,176_177_fdoa_scaled
4064,2021-11-30 11:33:55+00:00,0.0036310303538317,0.0036310303538317,0.0048056875340519,0.0048056875340519,0.0011746582110018,0.0011746582110018,0,0.9592147538964243,0.9592147538964243,0.6161927144783763,0.6161927144783763,1.1450560031131847,1.1450560031131847
1390,2021-10-02 05:39:55+00:00,0.0036309220534734,0.0036309220534734,0.0048046780485174,0.0048046780485174,0.001173756472955,0.001173756472955,1,-0.02225704545283759,-0.02225704545283759,-0.17286327264421456,-0.17286327264421456,0.7074060079735505,0.7074060079735505
3232,2021-11-11 11:04:25+00:00,0.0036305643281368,0.0036305643281368,0.0048036834323704,0.0048036834323704,0.0011731192956169,0.0011731192956169,0,-0.9892720903396881,-0.9892720903396881,-0.7304183134577221,-0.7304183134577221,-0.7381893185989995,-0.7381893185989995
2068,2021-10-16 11:39:55+00:00,0.003630990355564,0.003630990355564,0.0048036631924797,0.0048036631924797,0.0011726723780776,0.0011726723780776,1,-1.0089503138160252,-1.0089503138160252,-1.1214886041990482,-1.1214886041990482,0.9834199574032348,0.9834199574032348
3133,2021-11-09 05:04:25+00:00,0.0036314376770712,0.0036314376770712,0.0048029848012596,0.0048029848012596,0.0011715481766154,0.0011715481766154,0,-1.668515833775688,-1.668515833775688,-2.1052087628735157,-2.1052087628735157,2.7910802322652444,2.7910802322652444
2111,2021-10-17 09:09:55+00:00,0.0036310658750022,0.0036310658750022,0.0048042515243261,0.0048042515243261,0.0011731865976647,0.0011731865976647,1,-0.43694497429824997,-0.43694497429824997,-0.6715263947340028,-0.6715263947340028,1.2885997580999684,1.2885997580999684
6431,2022-01-20 11:03:35+00:00,0.0036307979972089,0.0036307979972089,0.0048031346878206,0.0048031346878206,0.0011723349052889,0.0011723349052889,0,-1.5227887008006151,-1.5227887008006151,-1.416790466374786,-1.416790466374786,0.20608519604001788,0.20608519604001788
3561,2021-11-18 22:03:55+00:00,0.0036306966360109,0.0036306966360109,0.0048051354501886,0.0048051354501886,0.0011744386320051,0.0011744386320051,0,0.42245149757801154,0.42245149757801154,0.4240525218721216,0.4240525218721216,-0.20352312389986704,-0.20352312389986704
194,2021-09-05 01:09:55+00:00,0.0036306471876588,0.0036306471876588,0.0048038070245746,0.0048038070245746,0.0011731608091318,0.0011731608091318,0,-0.8691096324379965,-0.8691096324379965,-0.6940923675860354,-0.6940923675860354,-0.40334768030926865,-0.40334768030926865
4489,2021-12-09 08:03:55+00:00,0.00363098897004,0.00363098897004,0.0048041293426547,0.0048041293426547,0.0011731397113557,0.0011731397113557,1,-0.5557360424000075,-0.5557360424000075,-0.7125537451511438,-0.7125537451511438,0.9778209494101808,0.9778209494101808
4613,2021-12-11 22:03:55+00:00,0.0036305874829825,0.0036305874829825,0.004804600607707,0.004804600607707,0.0011740147171574,0.0011740147171574,0,-0.09754883411990471,-0.09754883411990471,0.053110484109769075,0.053110484109769075,-0.6446188238453897,-0.6446188238453897
5442,2021-12-29 22:03:35+00:00,0.0036304622186171,0.0036304622186171,0.0048057978939828,0.0048057978939828,0.0011753356878588,0.0011753356878588,1,1.0665121407872997,1.0665121407872997,1.2090114072792468,1.2090114072792468,-1.1508216635134798,-1.1508216635134798
2361,2021-10-23 04:05:55+00:00,0.0036304723725059,0.0036304723725059,0.0048050832622183,0.0048050832622183,0.001174612192243,0.001174612192243,0,0.37171176990041427,0.37171176990041427,0.5759245043478871,0.5759245043478871,-1.1097890256388085,-1.1097890256388085
3372,2021-11-14 22:34:35+00:00,0.0036303308395139,0.0036303308395139,0.0048062080065699,0.0048062080065699,0.0011758752099403,0.0011758752099403,0,1.465243895766269,1.465243895766269,1.6811142869381865,1.6811142869381865,-1.681734624279907,-1.681734624279907
5049,2021-12-21 16:03:55+00:00,0.0036307521941449,0.0036307521941449,0.0048051385727939,0.0048051385727939,0.001174387029009,0.001174387029009,0,0.42548744899787067,0.42548744899787067,0.3788978861432617,0.3788978861432617,0.020991526437466698,0.020991526437466698
3828,2021-11-24 11:33:55+00:00,0.0036305079412382,0.0036305079412382,0.0048056634233578,0.0048056634233578,0.0011751584028319,0.0011751584028319,0,0.9357731437759832,0.9357731437759832,1.0538800890442357,1.0538800890442357,-0.9660530697963781,-0.9660530697963781
5534,2021-12-31 20:03:35+00:00,0.0036310792838756,0.0036310792838756,0.0048042477880793,0.0048042477880793,0.0011731698490971,0.0011731698490971,1,-0.44057753835596164,-0.44057753835596164,-0.6861820451053058,-0.6861820451053058,1.3427860366156446,1.3427860366156446
6287,2022-01-17 11:03:35+00:00,0.0036306254879562,0.0036306254879562,0.0048041568765779,0.0048041568765779,0.0011735294020607,0.0011735294020607,0,-0.528966199521504,-0.528966199521504,-0.37155916807025924,-0.37155916807025924,-0.491037830983438,-0.491037830983438
